stockRef,shape,color,clarity,lab,certiNo,treatment,weight,pricePerCts,discPerc,country,measurements,depthPerc,tablePerc,crownAngle,crownHeight,pavalionAngle,pavalionDepth,girdle,girdleThin,girdlePerc,girdleCondition,culetSize,culetCondition,polish,symmetry,fluorescenceIntensity,fluorescenceColor,fancyColor,fancyIntensity,fancyOvertone,pairStockRef,isMatchedPairSeparable,cutGrade,length,width,height,videoLink,certComment,keyToSymbols,certIssueDate,starLength,webLink,laserInscription,shade,Rap Price,lowerHalf,memberComment,blackcrown,blacktable,eyeclean,whitecrown,whitetable,handa,availability,cashDiscPrice,milky,enhancements,city,origin,cashDiscPerc,blackinclusion,identificationMarks,state,forTradeShow,CertiWebLink,LastCustomer,StoneLocation,CostPerCts,NotForWeb,T2A,Ratio,DeptCode,Stock Status
DC45375,RD,G,SI2,GIA,5396012363,,0.50000,812.72070,-52.19290,HONG KONG,5.05-5.08x3.18,62.90,57.00,34.50,14.50,41.60,44.00,MED to THK,Medium,4.00,Faceted,None,None,EX,EX,Faint,,,,,,,EX,5.08,5.05,3.18,,,Cloud,18/06/2021 12:00:00 AM,45.00,,Y,,1700.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=5396012363,,HONG KONG,1768.00000,False,,1.006,,A
DC43036,RD,J,VS1,GIA,2386549500,,0.50000,796.43520,-50.22280,HONG KONG,5.12-5.15x3.11,60.60,60.00,31.50,12.00,41.80,44.50,MED to THK,Medium,4.00,Faceted,None,None,VG,EX,Faint,,,,,,,EX,5.15,5.12,3.11,,,"Cloud, Indented Natural",04/05/2021 12:00:00 AM,55.00,,Y,,1600.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2386549500,,HONG KONG,1748.74000,False,,1.006,,A
DC43935,RD,J,VVS2,GIA,1399278447,,0.50000,820.63080,-51.72760,HONG KONG,5.02-5.06x3.17,62.90,56.00,36.00,16.00,41.00,43.50,MED to THK,Medium,3.50,Faceted,None,None,EX,EX,Faint,,,,,,,EX,5.06,5.02,3.17,,,Cavity,02/07/2021 12:00:00 AM,50.00,,Y,,1700.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=1399278447,,HONG KONG,1836.00000,False,,1.008,,A
DC41989,RD,H,VVS1,GIA,6147774468,,0.92000,2168.54549,-54.82197,HONG KONG,6.10-6.18x3.93,63.90,56.00,35.50,15.50,41.20,43.50,MED to THK,Medium,4.50,Faceted,None,None,EX,VG,None,,,,,,,VG,6.18,6.10,3.93,,,"Pinpoint, Feather",22/01/2021 12:00:00 AM,55.00,,Y,,4800.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=6147774468,,HONG KONG,3575.00000,False,,1.013,,A
SR1145,RD,K,VS1,GIA,6291043177,,0.91000,1187.12880,-54.34120,HONG KONG,6.18-6.21x3.85,62.20,58.00,35.50,15.00,41.20,43.50,MED to THK,Medium,3.50,Faceted,None,None,EX,EX,Strong,Blue,,,,,,EX,6.21,6.18,3.85,,,"Crystal, Cloud, Pinpoint",19/07/2021 12:00:00 AM,50.00,,Y,,2600.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=6291043177,GAILY JEWELLERY COMPANY LIMITED,HONG KONG,1295.00000,False,,1.005,,M
SR1148,RD,H,VVS1,GIA,2327241314,,0.91000,2167.17930,-54.85043,HONG KONG,6.09-6.11x3.91,64.10,56.00,36.50,16.00,41.20,43.50,STK to VTK,,4.50,Faceted,None,None,EX,EX,None,,,,,,,VG,6.11,6.09,3.91,,,"Pinpoint, Internal Graining, Feather, Surface Graining",19/07/2021 12:00:00 AM,45.00,,Y,,4800.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2327241314,,HONG KONG,2665.00000,False,,1.003,,A
SCANI,OVM,N,VS1,GIA,1448054271,,0.82000,495.00000,-66.00000,HONG KONG,6.80x4.90x3.21,65.50,56.00,0.00,0.00,0.00,0.00,VTK,,0.00,Faceted,None,None,EX,VG,Strong,Blue,,,,,,,6.80,4.90,3.21,,,Feather,18/07/2022 12:00:00 AM,0.00,,Y,,0.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=1448054271,,HONG KONG,1242.74390,False,,1.388,,A
DC51710,EM,E,SI1,GIA,2304768314,,0.80000,1170.00000,-55.00000,HONG KONG,6.14x4.69x2.83,60.50,68.00,0.00,0.00,0.00,0.00,STK,,0.00,,None,None,EX,VG,None,,,,,,,,6.14,4.69,2.83,,,"Feather, Cloud",11/10/2018 12:00:00 AM,0.00,,Y,,2600.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2304768314,,HONG KONG,2000.00000,False,,1.309,,A
SSR1-1,PC,M,SI2,GIA,7383818834,,0.75000,660.00000,-45.00000,HONG KONG,5.13x5.07x3.55,70.00,75.00,0.00,0.00,0.00,0.00,STK,,0.00,,None,None,EX,VG,None,,,,,,,,5.13,5.07,3.55,,,Cloud,28/05/2021 12:00:00 AM,0.00,,Y,,1200.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=7383818834,,HONG KONG,1193.60000,False,,1.012,,A
SR1168,RD,F,SI1,GIA,2347579289,,0.74000,1514.70000,-43.90000,HONG KONG,5.90-5.93x3.53,59.70,58.00,33.00,13.50,41.00,43.00,THN to MED,Thin,3.00,Faceted,None,None,EX,EX,None,,,,,,,EX,5.93,5.90,3.53,,,"Crystal, Feather",09/08/2021 12:00:00 AM,50.00,,Y,,2700.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2347579289,,HONG KONG,2226.00000,False,,1.005,,A
DC45088,EM,D,SI1,GIA,7411197855,,0.71000,1400.00000,-50.00000,HONG KONG,6.36x4.34x2.68,61.80,64.00,0.00,0.00,0.00,0.00,THK,,0.00,,None,None,EX,VG,None,,,,,,,,6.36,4.34,2.68,,,Feather,16/11/2021 12:00:00 AM,0.00,,Y,,2800.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=7411197855,,HONG KONG,2283.05634,False,,1.465,,A
SR1178,RD,L,VS1,GIA,2336248784,,0.71000,760.16160,-52.48990,HONG KONG,5.56-5.60x3.57,64.10,58.00,37.00,16.00,40.80,43.00,STK to VTK,,5.00,Faceted,None,None,EX,EX,Faint,,,,,,,VG,5.60,5.56,3.57,,,"Crystal, Cloud",19/07/2021 12:00:00 AM,50.00,,Y,,1600.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2336248784,,HONG KONG,920.00000,False,,1.007,,A
DC42402,RD,J,VVS2,GIA,2384502437,,0.70000,1151.14230,-45.18370,HONG KONG,5.60-5.67x3.54,62.80,56.00,35.50,16.00,40.60,43.00,MED to THK,Medium,4.00,Faceted,None,None,EX,VG,None,,,,,,,EX,5.67,5.60,3.54,,,"Feather, Indented Natural",05/05/2021 12:00:00 AM,45.00,,Y,,2100.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2384502437,,HONG KONG,2128.00000,False,,1.013,,A
DC42751,RD,G,VS1,GIA,5376321064,,0.70000,1543.44960,-51.76720,HONG KONG,5.64-5.68x3.56,62.80,57.00,35.50,15.50,41.20,44.00,MED to THK,Medium,3.50,Faceted,None,None,EX,EX,Faint,,,,,,,EX,5.68,5.64,3.56,,,"Crystal, Feather, Needle, Pinpoint",19/01/2021 12:00:00 AM,50.00,,Y,,3200.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=5376321064,,HONG KONG,2988.57143,False,,1.007,,A
DC42139,RD,G,VVS2,GIA,5366891194,,0.70000,1875.60450,-46.41130,HONG KONG,5.70-5.74x3.45,60.30,59.00,32.50,13.00,41.00,43.00,MED to THK,Medium,4.00,Faceted,None,None,VG,EX,None,,,,,,,EX,5.74,5.70,3.45,,,"Needle, Pinpoint",07/12/2020 12:00:00 AM,50.00,,Y,,3500.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=5366891194,,HONG KONG,3217.04286,False,,1.007,,A
DC42416,RD,G,VVS2,GIA,7382547472,,0.70000,1875.60450,-46.41130,HONG KONG,5.62-5.66x3.54,62.70,58.00,35.50,15.00,41.20,44.00,MED to THK,Medium,4.00,Faceted,None,None,EX,VG,None,,,,,,,EX,5.66,5.62,3.54,,,"Cloud, Pinpoint, Feather",06/05/2021 12:00:00 AM,45.00,,Y,,3500.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=7382547472,,HONG KONG,3302.00000,False,,1.007,,A
SR1197,RD,G,IF,GIA,1323802022,,0.65000,1645.45920,-48.57940,HONG KONG,5.52-5.55x3.45,62.40,57.00,35.50,15.50,41.00,43.50,MED to THK,Medium,3.50,Faceted,None,None,EX,EX,Faint,,,,,,,EX,5.55,5.52,3.45,,,Minor Details Of Polish,19/07/2021 12:00:00 AM,50.00,,Y,,3200.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT0,EC0,WC0,WT0,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=1323802022,,HONG KONG,2200.00000,False,,1.005,,A
DC41890,RD,I,SI1,GIA,5136053393,,0.61000,765.76500,-54.95500,HONG KONG,5.43-5.45x3.39,62.30,56.00,35.00,15.50,41.20,43.50,MED to THK,Medium,3.50,,None,None,EX,VG,Strong,Blue,,,,,,EX,5.45,5.43,3.39,,,Crystal,20/01/2021 12:00:00 AM,55.00,,Y,,1700.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=5136053393,,HONG KONG,1375.00000,False,,1.004,,A
SRVD66M,OVB,D,SI1,GIA,1449204862,,0.60000,1166.00000,-47.00000,HONG KONG,6.55x4.70x2.94,62.50,62.00,0.00,0.00,0.00,0.00,VTK,,0.00,Faceted,None,None,VG,VG,None,,,,,,,,6.55,4.70,2.94,,,Crystal,05/08/2022 12:00:00 AM,0.00,,Y,,2200.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=1449204862,,HONG KONG,1890.00000,False,,1.394,,A
DC44291,RD,G,SI1,GIA,7396079042,,0.57000,930.60000,-53.47000,HONG KONG,5.26-5.30x3.29,62.40,57.00,36.00,15.50,40.60,42.50,MED to THK,Medium,4.00,Faceted,None,None,EX,EX,Medium,Blue,,,,,,EX,5.30,5.26,3.29,,,"Twinning Wisp, Feather, Crystal",17/06/2021 12:00:00 AM,50.00,,Y,,2000.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=7396079042,,HONG KONG,2139.00000,False,,1.008,,A
DC42686,RD,G,VVS2,GIA,2364481939,,0.56000,1147.48920,-55.86580,HONG KONG,5.28-5.29x3.32,62.70,58.00,34.00,14.50,41.80,44.50,MED to THK,Medium,4.00,Faceted,None,None,EX,EX,Medium,Blue,,,,,,EX,5.29,5.28,3.32,,,Pinpoint,29/10/2020 12:00:00 AM,50.00,,Y,,2600.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2364481939,,HONG KONG,2196.00000,False,,1.002,,A
SR1134,RD,G,SI1,GIA,1313288602,,0.55000,809.82000,-59.50900,HONG KONG,5.31-5.34x3.11,58.30,58.00,32.00,13.00,39.40,40.50,STK to ETK,Medium,4.50,Faceted,None,None,GD,FR,Faint,,,,,,,FR,5.34,5.31,3.11,,,"Cloud, Crystal, Needle, Feather",12/07/2021 12:00:00 AM,50.00,,Y,,2000.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=1313288602,,HONG KONG,1184.00000,False,,1.006,,A
DC43482,RD,G,VS1,GIA,2396078816,,0.54000,1061.35920,-55.77670,HONG KONG,5.17-5.19x3.27,63.20,56.00,36.50,16.00,41.00,43.50,THN to STK,Thin,3.50,Faceted,None,None,EX,EX,Medium,Blue,,,,,,EX,5.19,5.17,3.27,,,"Crystal, Feather, Pinpoint",14/06/2021 12:00:00 AM,50.00,,Y,,2400.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2396078816,,HONG KONG,2600.00000,False,,1.004,,A
SR1221,RD,E,IF,GIA,5336058721,,0.53000,1611.72000,-63.37000,HONG KONG,5.16-5.19x3.23,62.40,57.00,35.50,15.50,41.00,43.50,MED to THK,Medium,3.50,Faceted,None,None,EX,EX,Medium,Blue,,,,,,EX,5.19,5.16,3.23,,,Minor Details Of Polish,19/07/2021 12:00:00 AM,50.00,,Y,,4400.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT0,EC0,WC0,WT0,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=5336058721,,HONG KONG,2268.00000,False,,1.006,,A
CS50038,CMB,F I YSH G,SI1,GIA,2135057842,,8.10000,178695.00000,0.00000,HONG KONG,11.17x10.83x7.40,68.30,57.00,0.00,0.00,0.00,0.00,VTK,,0.00,Faceted,None,None,EX,EX,None,,Green,Fancy Intense,yellowish,,,,11.17,10.83,7.40,http://image.simgems.com/images/CS50038-,"Additional twinning wisps, pinpoints, surface graining and a patch of color are not shown.","Crystal, Feather, Twinning Wisp, Etch Channel, Needle",25/03/2016 12:00:00 AM,0.00,CS50038-,Y,GREEN,0.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC1,BT2,EC1,WC1,WT1,NA,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2135057842,,HONG KONG,37252.01975,False,,1.031,,A
SW1078,RD,M,IF,GIA,2225151901,,5.54000,8910.00000,-40.60000,HONG KONG,11.60-11.62x6.88,59.30,59.00,31.50,12.50,41.40,44.00,THN to MED,Thin,3.00,,None,None,EX,EX,Faint,,,,,,,EX,11.62,11.60,6.88,http://image.simgems.com/images/SW1078,Minor details of polish are not shown.,,06/12/2021 12:00:00 AM,55.00,SW1078,Y,None,15000.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC0,BT0,EC0,WC0,WT0,NO,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2225151901,SIM GEMS DMCC,U.A.E,10050.00000,False,,1.002,,M
SAT389,EM,L,VVS2,GIA,2446587921,,5.40000,5932.72350,-56.05390,HONG KONG,11.29x8.46x5.78,68.30,65.00,0.00,0.00,0.00,0.00,STK to VTK,,0.00,Polished,None,None,EX,VG,Medium,Blue,,,,,,,11.29,8.46,5.78,http://image.simgems.com/images/SAT389,Additional pinpoints are not shown.,"Pinpoint, Cloud",09/09/2022 12:00:00 AM,0.00,SAT389,Y,,13500.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC0,BT0,EC0,WC0,WT1,NA,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2446587921,SIM GEMS DMCC,U.A.E,6858.79630,False,,1.335,,M
CS50951,CMB,F I Y,VS2,GIA,2145299996,,5.03000,13860.00000,0.00000,HONG KONG,9.76x9.07x6.04,66.60,60.00,0.00,0.00,0.00,0.00,ETK,,0.00,Faceted,None,None,EX,VG,None,,Yellow,Fancy Intense,,,,,9.76,9.07,6.04,http://image.simgems.com/images/CS50951,,"Feather, Crystal, Pinpoint, Cloud, Natural",17/11/2022 12:00:00 AM,0.00,CS50951,Y,,0.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC0,BT1,EC0,WC2,WT0,NA,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2145299996,,HONG KONG,12400.39761,False,,1.076,,A
CS45461,EM,E,VS1,GIA,3425010952,,5.02000,16632.00000,-68.32000,HONG KONG,10.88x8.81x6.12,69.50,72.00,0.00,0.00,0.00,0.00,THN to MED,Thin,0.00,,None,None,VG,GD,Medium,Blue,,,,,,,10.88,8.81,6.12,http://image.simgems.com/images/CS45461,Pinpoints are not shown.,"Crystal, Indented Natural",21/01/2022 12:00:00 AM,0.00,CS45461,Y,,52500.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC0,BT0,EC0,WC1,WT1,NA,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=3425010952,SIM GEMS USA INC,USA,17155.02988,False,,1.235,,M
SAT160,RD,N,IF,GIA,5202691635,,4.21000,6187.50000,-39.00000,HONG KONG,10.50-10.53x6.28,59.70,58.00,34.00,14.50,40.60,43.00,THN to MED,Thin,2.50,,None,None,EX,EX,Faint,,,,,,,EX,10.53,10.50,6.28,http://image.simgems.com/images/SAT160,Minor details of polish are not shown.,,14/11/2019 12:00:00 AM,50.00,SAT160,Y,,0.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC0,BT0,EC0,WC0,WT0,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=5202691635,SIM GEMS DMCC,U.A.E,6785.03563,False,,1.003,,M
CS46177,RD,N,VVS1,GIA,2416468452,,4.02000,5692.50000,-39.00000,HONG KONG,10.16-10.20x6.28,61.70,60.00,32.50,12.50,41.80,44.50,STK,,4.50,Faceted,None,None,EX,EX,Faint,,,,,,,EX,10.20,10.16,6.28,http://image.simgems.com/images/CS46177,,"Cloud, Feather",09/12/2021 12:00:00 AM,50.00,CS46177,Y,,0.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC0,BT0,EC0,WC1,WT0,NO,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2416468452,TIZDAN OFIR,HONG KONG,7475.00000,False,,1.004,,M
SELS1001,RD,F,IF,GIA,1438851140,,3.77000,30071.25000,-25.75000,HONG KONG,10.12-10.17x6.09,60.00,60.00,32.00,12.50,41.60,44.50,MED to THK,Medium,3.00,Faceted,None,None,EX,EX,None,,,,,,,EX,10.17,10.12,6.09,http://image.simgems.com/images/SELS1001,Minor details of polish are not shown.,,11/07/2022 12:00:00 AM,50.00,SELS1001,Y,,40500.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC0,BT0,EC0,WC0,WT0,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=1438851140,ELS GROUP LIMITED,HONG KONG,35011.93634,False,Not Available,1.005,,M
RFSAW01A,RD,K,VS1,GIA,2446608700,,2.04000,3796.94700,-45.75790,HONG KONG,8.10-8.13x5.01,61.80,57.00,35.50,15.50,40.60,43.00,MED to THK,Medium,3.50,Faceted,None,None,EX,EX,Faint,,,,,,,EX,8.13,8.10,5.01,http://image.simgems.com/images/RFSAW01A,Additional pinpoints are not shown. Clouds are not shown.,"Crystal, Pinpoint",08/09/2022 12:00:00 AM,50.00,RFSAW01A,Y,,7000.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT1,EC0,WC0,WT1,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2446608700,TIZDAN OFIR,HONG KONG,5662.00000,False,,1.004,,M
